,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
97,Orco -/- vs. Orco +/+ shuffle vm4,2.5,0.2411419874919255,1.3219280948873624,1.4223693592603979
98,Orco -/- vs. Orco +/+ shuffle vm5d,1.25,0.507509385492036,0.32192809488736235,0.6782400746568324
99,Orco -/- vs. Orco +/+ shuffle vm5v,0.5,0.7317558324437891,-1.0,0.31230838290034296
100,Orco -/- vs. Orco +/+ shuffle vm7d,0.2,0.2298101107496446,-2.321928094887362,1.4705019164951383
101,Orco -/- vs. Orco +/+ shuffle vm7v,0.3333333333333333,0.4667641845559184,-1.5849625007211563,0.7619311069718999
102,Orco -/- vs. Orco +/+ fixed d,0.5,0.69502723516159,-1.0,0.3638042469022831
103,Orco -/- vs. Orco +/+ fixed da1,0.5833333333333334,0.6232436192621826,-0.777607578663552,0.47281779447735484
104,Orco -/- vs. Orco +/+ fixed da2,0.5,1.0,-1.0,0.0
105,Orco -/- vs. Orco +/+ fixed da3,0.0,0.44000000000000006,-inf,0.8209805520698301
106,Orco -/- vs. Orco +/+ fixed da4l,0.0,0.25583892617449666,-inf,1.3632072271594577
107,Orco -/- vs. Orco +/+ fixed da4m,0.0,0.25583892617449666,-inf,1.3632072271594577
108,Orco -/- vs. Orco +/+ fixed dc1,0.6666666666666666,0.8257645703844295,-0.5849625007211563,0.19144556983581132
109,Orco -/- vs. Orco +/+ fixed dc2,1.6666666666666667,0.3009152498311844,0.7369655941662062,1.200926615901933
110,Orco -/- vs. Orco +/+ fixed dc3,0.5,0.5510339088751157,-1.0,0.5959589311145727
111,Orco -/- vs. Orco +/+ fixed dc4,2.5,0.2411419874919255,1.3219280948873624,1.4223693592603979
112,Orco -/- vs. Orco +/+ fixed dl1,0.16666666666666666,0.022787563944349956,-2.584962500721156,3.7815403328661
113,Orco -/- vs. Orco +/+ fixed dl2d,1.0,0.7312827386738485,0.0,0.3129551106022226
114,Orco -/- vs. Orco +/+ fixed dl2v,2.0,0.40554136853763073,1.0,0.9025323920417265
115,Orco -/- vs. Orco +/+ fixed dl3,0.0,0.44000000000000006,-inf,0.8209805520698301
116,Orco -/- vs. Orco +/+ fixed dl4,0.0,1.0,-inf,0.0
117,Orco -/- vs. Orco +/+ fixed dl5,0.8,1.0,-0.3219280948873623,0.0
118,Orco -/- vs. Orco +/+ fixed dm1,0.25,0.008377453219414466,-2.0,4.782211322443068
119,Orco -/- vs. Orco +/+ fixed dm2,1.0,0.7495119475538927,0.0,0.28833302086754664
120,Orco -/- vs. Orco +/+ fixed dm3,0.8,1.0,-0.3219280948873623,0.0
121,Orco -/- vs. Orco +/+ fixed dm4,0.3333333333333333,0.6309294913321757,-1.5849625007211563,0.46056116383787754
122,Orco -/- vs. Orco +/+ fixed dm5,0.4,0.267871133414479,-1.3219280948873622,1.317249259582897
123,Orco -/- vs. Orco +/+ fixed dm6,0.5,0.5510339088751157,-1.0,0.5959589311145727
124,Orco -/- vs. Orco +/+ fixed dp1l,1.0,0.6076699744235321,0.0,0.49812334961251165
125,Orco -/- vs. Orco +/+ fixed dp1m,1.6666666666666667,0.18142187812819688,0.7369655941662062,1.7069301414721365
126,Orco -/- vs. Orco +/+ fixed v,0.0,0.44000000000000006,-inf,0.8209805520698301
127,Orco -/- vs. Orco +/+ fixed va1d,1.3333333333333333,0.6997924346121904,0.41503749927884376,0.3569715098926531
128,Orco -/- vs. Orco +/+ fixed va1v,0.0,0.08300380917830581,-inf,2.4888687785240955
129,Orco -/- vs. Orco +/+ fixed va2,0.7,1.0,-0.5145731728297583,0.0
130,Orco -/- vs. Orco +/+ fixed va3,0.7333333333333333,1.0,-0.4474589769712214,0.0
131,Orco -/- vs. Orco +/+ fixed va4,0.0,0.08300380917830581,-inf,2.4888687785240955
132,Orco -/- vs. Orco +/+ fixed va5,2.3333333333333335,0.10654185691893261,1.222392421336448,2.239217348332871
133,Orco -/- vs. Orco +/+ fixed va6,1.0,0.7652333735793901,0.0,0.26757442817553945
134,Orco -/- vs. Orco +/+ fixed va7l,0.5,0.69502723516159,-1.0,0.3638042469022831
135,Orco -/- vs. Orco +/+ fixed va7m,2.0,0.40554136853763073,1.0,0.9025323920417265
136,Orco -/- vs. Orco +/+ fixed vc1,0.6,1.0,-0.7369655941662062,0.0
137,Orco -/- vs. Orco +/+ fixed vc2,2.5,0.2411419874919255,1.3219280948873624,1.4223693592603979
138,Orco -/- vs. Orco +/+ fixed vc3l,1.75,0.21418729369777584,0.8073549220576041,1.540904442532946
139,Orco -/- vs. Orco +/+ fixed vc3m,0.5,0.69502723516159,-1.0,0.3638042469022831
140,Orco -/- vs. Orco +/+ fixed vc4,0.5,0.69502723516159,-1.0,0.3638042469022831
141,Orco -/- vs. Orco +/+ fixed vc5,2.5,0.2411419874919255,1.3219280948873624,1.4223693592603979
142,Orco -/- vs. Orco +/+ fixed vl1,1.0,1.0,0.0,0.0
143,Orco -/- vs. Orco +/+ fixed vl2a,1.4,0.368805781512344,0.48542682717024166,0.9974851108706653
144,Orco -/- vs. Orco +/+ fixed vl2p,11.0,0.0005518238727031023,3.4594316186372973,7.502281633791253
145,Orco -/- vs. Orco +/+ fixed vm1,0.375,0.348206921758227,-1.415037499278844,1.054958373160311
146,Orco -/- vs. Orco +/+ fixed vm2,1.125,0.448874795821822,0.16992500144231237,0.8010112813024441
147,Orco -/- vs. Orco +/+ fixed vm3,1.25,0.507509385492036,0.32192809488736235,0.6782400746568324
148,Orco -/- vs. Orco +/+ fixed vm4,1.0,0.7495119475538927,0.0,0.28833302086754664
149,Orco -/- vs. Orco +/+ fixed vm5d,0.7142857142857143,1.0,-0.4854268271702417,0.0
150,Orco -/- vs. Orco +/+ fixed vm5v,1.0,1.0,0.0,0.0
